7.16,Biopsy of thymus 
7.17,Biopsy of pineal gland 
7.19,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal and thymus "
7.21,Excision of lesion of adrenal gland 
7.22,Unilateral adrenalectomy 
7.29,Other partial adrenalectomy 
7.3,Bilateral adrenalectomy 
7.41,Incision of adrenal gland 
7.42,Division of nerves to adrenal glands 
7.43,Ligation of adrenal vessels 
7.44,Repair of adrenal gland 
7.45,Reimplantation of adrenal tissue 
7.49,"Other operations on adrenal glands, nerves, and vessels "
7.51,Exploration of pineal field 
7.52,Incision of pineal gland 
7.53,Partial excision of pineal gland 
7.54,Total excision of pineal gland 
7.59,Other operations on pineal gland 
7.61,"Partial excision of pituitary gland, transfrontal approach "
7.62,"Partial excision of pituitary gland, transsphenoidal approach "
7.63,"Partial excision of pituitary gland, unspecified approach "
7.64,"Total excision of pituitary gland, transfrontal approach "
7.65,"Total excision of pituitary gland, transsphenoidal approach "
7.68,"Total excision of pituitary gland, other specified approach "
7.69,"Total excision of pituitary gland, unspecified approach "
7.71,Exploration of pituitary fossa 
7.72,Incision of pituitary gland 
7.79,Other operations on hypophysis 
7.8,"Thymectomy, not otherwise specified "
7.81,Partial excision of thymus 
7.82,Total excision of thymus 
7.83,Thoracoscopic partial excision of thymus 
7.84,Thoracoscopic total excision of thymus 
7.91,Exploration of thymus field 
7.92,Incision of thymus 
7.93,Repair of thymus 
7.94,Transplantation of thymus 
7.95,Thoracoscopic incision of thymus 
7.98,Other and unspecified thoracoscopic operations on thymus 
7.99,Other and unspecified operations on thymus 
8.01,Incision of lid margin 
8.02,Severing of blepharorrhaphy 
8.09,Other incision of eyelid 
8.11,Biopsy of eyelid 
8.19,Other diagnostic procedures on eyelid 
8.2,"Removal of lesion of eyelid, not otherwise specified "
8.21,Excision of chalazion 
8.22,Excision of other minor lesion of eyelid 
8.23,"Excision of major lesion of eyelid, partial-thickness "
8.24,"Excision of major lesion of eyelid, full-thickness "
8.25,Destruction of lesion of eyelid 
8.31,Repair of blepharoptosis by frontalis muscle technique with suture 
8.32,Repair of blepharoptosis by frontalis muscle technique with fascial 
8.33,Repair of blepharoptosis by resection or advancement of levator musc 
8.34,Repair of blepharoptosis by other levator muscle techniques 
8.35,Repair of blepharoptosis by tarsal technique 
8.36,Repair of blepharoptosis by other techniques 
8.37,Reduction of overcorrection of ptosis 
8.38,Correction of lid retraction 
8.41,Repair of entropion or ectropion by thermocauterization 
8.42,Repair of entropion or ectropion by suture technique 
8.43,Repair of entropion or ectropion with wedge resection 
8.44,Repair of entropion or ectropion with lid reconstruction 
8.49,Other repair of entropion or ectropion 
8.51,Canthotomy 
8.52,Blepharorrhaphy 
8.59,Other adjustment of lid position 
8.61,Reconstruction of eyelid with skin flap or graft 
8.62,Reconstruction of eyelid with mucous membrane flap or graft 
8.63,Reconstruction of eyelid with hair follicle graft 
8.64,Reconstruction of eyelid with tarsoconjunctival flap 
8.69,Other reconstruction of eyelid with flaps or grafts 
8.7,"Reconstruction of eyelid, not otherwise specified "
8.71,"Reconstruction of eyelid involving lid margin, partial- thickness "
8.72,"Other reconstruction of eyelid, partial-thickness "
8.73,"Reconstruction of eyelid involving lid margin, full-thickness "
8.74,"Other reconstruction of eyelid, full-thickness "
8.81,Linear repair of laceration of eyelid or eyebrow 
8.82,"Repair of laceration involving lid margin, partial-thickness "
8.83,"Other repair of laceration of eyelid, partial-thickness "
8.84,"Repair of laceration of eyelid involving lid margin, full-thickness "
8.85,"Other repair of laceration of eyelid, full-thickness "
8.86,Lower eyelid rhytidectomy 
8.87,Upper eyelid rhytidectomy 
8.89,Other eyelid repair 
8.91,Electrosurgical epilation of eyelid 
8.92,Cryosurgical epilation of eyelid 
8.93,Other epilation of eyelid 
8.99,Other operations on eyelids 
9,Incision of lacrimal gland 
9.11,Biopsy of lacrimal gland 
9.12,Biopsy of lacrimal sac 
9.19,Other diagnostic procedures on lacrimal system 
9.2,"Excision of lacrimal gland, not otherwise specified "
9.21,Excision of lesion of lacrimal gland 
9.22,Other partial dacryoadenectomy 
9.23,Total dacryoadenectomy 
9.3,Other operations on lacrimal gland 
9.41,Probing of lacrimal punctum 
9.42,Probing of lacrimal canaliculi 
9.43,Probing of nasolacrimal duct 
9.44,Intubation of nasolacrimal duct 
9.49,Other manipulation of lacrimal passage 
9.51,Incision of lacrimal punctum 
9.52,Incision of lacrimal canaliculi 
9.53,Incision of lacrimal sac 
9.59,Other incision of lacrimal passages 
9.6,Excision of lacrimal sac and passage 
9.71,Correction of everted punctum 
9.72,Other repair of punctum 
9.73,Repair of canaliculus 
9.81,Dacryocystorhinostomy (DCR) 
9.82,Conjunctivocystorhinostomy 
9.83,Conjunctivorhinostomy with insertion of tube or stent 
9.83,Conjunctivorhinostomy with insertion of tube or stent 
9.91,Obliteration of lacrimal punctum 
9.99,Other operations on lacrimal system 
10,Removal of embedded foreign body from conjuntiva 
10.1,Other incision of conjunctiva 
10.2,Ventriculopuncture through previously implanted catheter 
10.21,Biopsy of conjunctiva 
10.29,Other diagnostic procedures on conjunctiva 
10.31,Excision of lesion or tissue of conjunctive 
10.32,Destruction of lesion of conjunctiva 
10.33,Other destructive procedures on conjunctive 
10.41,Repair of symblepharon with free graft 
10.42,Reconstruction of conjunctival cul-de-sac with free graft 
10.43,Other reconstruction of conjunctival cul-de-sac 
10.44,Other free graft to conjunctiva 
10.49,Other conjunctivoplasty 
10.5,Lysis of adhesions of conjunctive and eyelid 
10.6,Repair of laceration of conjunctive 
10.9,Other cranial puncture 
10.9,Other operations on conjunctiva 
10.91,Subconjunctival injection 
10.99,Others 
11,Magnetic removal of embedded foreign body from comea 
11,Magnetic removal of embedded foreign body from cornea 
11.1,Closed (percutaneous) (needle) biosy cerebral 
11.1,Incision of comea 
11.2,Open biopsy of cerebral meninges 
11.21,Scraping of comea for smear or culture 
11.22,Biopsy of cornea 
11.29,Other diagnostic procedures on comea 
11.3,Closed (percutaneous) (needle) biosy of brain 
11.31,Transposition of pterygium 
11.32,Excision of pterygium with corneal graft 
11.39,Other excision of pterygium 
11.4,Open biopsy of brain 
11.41,Mechanical removal of comeal epithelium 
11.42,Themocautenzation of comeal lesion 
11.43,Cryotherapy of comeal lesion 
11.49,Other removal or destruction of comeal lesion 
11.5,Biopsy of skull 
11.51,Suture of comeal laceration 
11.52,Repair of postoperative wound dehiscence of cornea 
11.53,Repair of corneal laceration or wound with conjuntival flap 
11.59,Other repair of cornea 
11.6,Comeal transplant NOS 
11.6,"Corneal transplant, not otherwise specified "
11.61,Lamellar keratoplasty with autograft 
11.62,Other lamellar keratoplasty 
11.63,Penetrating keratoplasty with autograft 
11.64,Other penetrating keratoplasty 
11.69,Other comeal transplant 
11.71,Keratomileusis 
11.72,Keratophakia 
11.73,Keratoprosthesis 
11.74,Thennokeratoplasty 
11.75,Radial keratotomy 
11.76,Epikeratophakia 
11.79,Other operations on iris ciliary body sclera 
11.8,Other diagnostic procedures on brain and cerebral meninges 
11.9,Other diagnostic procedures on skull 
11.91,Tattooing of cornea 
11.92,Removal of artificial implant from cornea 
11.99,Other operations operations on cornea 
12,Removal of intraocular foreign body from ant seg of eye NOS 
12,"Removal of intraocular foreign body from anterior segment of eye, no "
12.01,Removal of intraocular fireign body from ant seg of eye with use of magnet 
12.02,Removal of intraocular foreign body from ant seg of eye without use of magnet 
12.1,Incision and drainage of cranial sinus 
12.11,Iridotomy with transfixion 
12.12,Other iridotomy 
12.13,Excision of prolapsed iris 
12.14,Other iridectomy 
12.2,Removal of intaracranial neurostimulator 
12.21,Diagnostic aspirtion of ant chamber of eye 
12.22,Bipsy of iris 
12.29,Other diagnostic procedures on iris cliary body 
12.3,Reopening of craniotomy site 
12.31,Lysis of goniosynechiae 
12.32,Lysis of other ant synechiae 
12.33,lysis of posterior sysnechiae 
12.34,lysis of coerneovitreal adhesions 
12.35,Coreoplasty 
12.39,Other iridoplasty 
12.4,Other craniotomy 
12.4,Removal of lesion of ant seg of eye NOS 
12.4,"Removal of lesion of anterior segment of eye, not otherwise specifie "
12.41,Destruction of lesion of iris nonexcisional 
12.42,Excision of lesion of iris 
12.43,Destruction of lesion of ciliary body nonexcisional 
12.44,Excision of lesion of ciliary body 
12.5,Other craniectomy 
12.51,Goniopuncture without goniotomy 
12.52,Goniotomy without goniopuncture 
12.53,Goniotomy with goniopuncture 
12.54,Trabeculotomy ab extemo 
12.55,Cyciodialysis 
12.59,Other facilitation of intraocular circulation 
12.61,Trephination of sclera with indectomy 
12.62,Thennocauterization of sclera with iridectomy 
12.63,Indencleisis and iridotasis 
12.64,Trabeculectomy ab extermo 
12.65,Other scleral fistulization with indectomy 
12.66,Postoperative revision of scleral fistulization procedures 
12.69,Other fistulizing procedure 
12.71,Cyclodiathermy 
12.72,Cycllocryottherapy 
12.73,Cyclophotocoagulation 
12.74,Diminution of ciliary body NOS 
12.79,Other glaucoma procedures 
12.81,Suture of laceration of sclera 
12.82,Repair of sclera fistula 
12.83,Revision of operative wound of ant seg NOS 
12.84,Excision or destruction of lesion of sclera 
12.85,Repair of scleral staphyloma with graft 
12.86,Other repair of scleral staphyloma 
12.87,Scleral reinforcement with graft 
12.88,Other operations reinforcement 
12.89,Other operations on sclera 
12.91,Therapeutic evacuation of ant chamber 
12.92,Injection into ant chamber 
12.93,Removale or destruction of epithefiral downgrowth from 
12.97,Other operations on iris 
12.98,Other operations on ciliary body 
12.99,Other operations on ant chamber 
13,Removal of foreign body from lens NOS 
13,"Removal of foreign body from lens, not otherwise specified "
13.01,Removal of foreign body from lens with use of magnet 
13.02,Removal of foreign body from lens without use of magnet 
13.1,Incision of cerebral meninges 
13.11,Intracapsular extraction of lens by temporal inf route 
13.19,Other intracap extraction 
13.2,Extracap extraction of lens by linear extra technique 
13.2,Lobotomy and tractotomy 
13.3,Extracap extraction of lens by simple aspiration 
13.41,Phaco and aspiration of catarac 
13.42,Mechaic phacofragment and aspi of catarac 
13.43,Mechanical phacofragmentation and other aspiration of cataract 
13.51,Extracap extraction of lens by temporal infer route 
13.59,Other extracap extrac of lens 
13.64,Discission of secondary membra 
13.65,Excision of secondary membra 
13.66,Mechanical fragme of secondary membra 
13.69,Other catarac extraction 
13.7,Insert of psedophakos NOS 
13.7,"Insertion of pseudophakos, not otherwise specified "
13.71,Insert of intra lens prosthesis at time catarac 
13.72,Secondary insert of intrao lens prosthesis 
13.8,Removal insert of intrao lens prosthesis 
13.9,Other incision of brain 
13.9,Other oprations on lens 
13.9,"Operation on lens, Not Elsewhere Classified "
13.91,Implatation of intraocular telescope prosthesis 
14,Removal of foreign body from post segment of eye NOS 
14,"Removal of foreign body from posterior segment of eye, not otherwise "
14.01,Removal of foreign body from post segment of eye with use magnet 
14.02,Removal of foreign body from post segment of eye without use magnet 
14.1,Operations on thalamus    
14.11,Diagnostic aspiration of vitreous 
14.19,"Other diagnostic procedures on retina, choroid, vitreous, and poster "
14.2,Operations on globus pallidus 
14.21,Destruction of chorioretinal lesion by diathermy 
14.22,Destruction of chorioretinal lesion by cryottherapy 
14.23,Destruction of chorioretinal lesion by xenon arc photocoagulation 
14.24,Destruction of chorioretinal lesion by laser photocoagulation 
14.25,Destruction of chorioretinal lesion by photocoagulation of unspecifi 
14.26,Destruction of chorioretinal lesion by radiation 
14.27,Destruction of chorioretinal lesion by implant 
14.29,Other destruction of chorioretinal lesion 
14.31,Repair of retinal tear by diathermy 
14.32,Repair of retinal tear by cryotherapy 
14.33,Repair of retinal tear by xenon arc photo 
14.34,Repair of retinal tear by laser photo 
14.35,Repair of retinal tear by photo of unspec type 
14.39,Other repair of retinal detac 
14.41,Scleral buckling with implant 
14.49,Other scleral buckling 
14.51,Repair of retinal detac with diathermy 
14.52,Repair of retinal detac with cryotherapy 
14.53,Repair of retinal detac with xrnon arc 
14.54,Repair of retinal detac with laser 
14.55,Repair of retinal detac with photo 
14.59,Other repair of retinal detac 
14.6,Removal of surgically implant material from post seg of eye 
14.71,Removal of vireous ant approach 
14.72,Other removal of vireous 
14.73,Mechanical vitrectomy by ant appoach 
14.74,Other mechanical vitrectomy 
14.75,Injection of vitreous substitute 
14.79,Other operation on vitreous 
14.9,Other operations on retina choroid 
15.01,Biopsy of extraocular muscle or tendon 
15.09,Other diagnostic procedures on extra muscles 
15.1,Excision of lesion or tissue of cerebral meninges 
15.11,Recession of one extrao muscle 
15.12,Advancement of one extrao muscle 
15.13,Resection of extraocular muscle 
15.19,Other operations on one extraocular muscle invlov 
15.2,Hemispherectomy 
15.21,Lengthening procedure on one extrao muscle 
15.22,Shortening procedure on one extrao muscle 
15.29,Other operations on one extraocular muscle 
15.3,Lobectomy of brain 
15.3,Operations on two or more extrao muscles involving 
15.4,Other operations on two or more extra muscles one or both eyes 
15.5,Transplantation of extrao muscles 
15.6,Revision of injury of extra muscles 
15.7,Repair of injury of extra muscle 
15.9,Other excision or destruction of lesion or tissue of brain 
15.9,Other operation on extraocular muscles and tendons 
16,Excision of lesion of skull 
16.01,Orbitotomy with bone flap 
16.02,Orbitotomy with lateral approach 
16.09,Other orbitotomy 
16.1,Removal of penetrating foreign body from eye 
16.21,Ophthalmoscopy 
16.22,Diagnostic aspiration of orbit 
16.23,Biopsy of eyeball and orbit 
16.29,Other diagnostic procedures on orbit and eyeball 
16.31,Removal of ocular contents with synchronous implant into 
16.39,Other evisceration of eyeball 
16.41,Enucleation of eyeball synchronous implat into tendon 
16.42,Enucleation of eyeball with other syncho impalnt 
16.49,Other enucleation of eyeball 
16.51,Exenteration of orbital contents 
16.52,Exenteration of orbit with therapetic removal of orbital bone 
16.59,Other exenteration of orbit 
16.61,Secondary insert of ocular implant 
16.62,Revision and reinsert of ocular implant 
16.63,Revision of enucleation socket with graft 
16.64,Other revision of enucleation socket 
16.65,Secondary graft to exenter cavity 
16.66,Other revision of exentre cavity 
16.69,Other secondary procedures after removal of eyeball 
16.71,Removal of ocular implant 
16.72,Removal of orbital impalt 
16.81,Repair of woud of orbit 
16.82,Repair of rupture of eyeball 
16.89,Other repair of injury of eyebll or orbit 
16.91,Retrobulbar injection of therapeutic agent 
16.92,Excision of lesion of orbit 
16.93,Excision of lesion of eye unspecified 
16.98,Other operations on orbit 
16.99,Other operations on eyeball 
17.11,Laparoscopic repair of direct inguinal hernia with graft or prosthesis 
17.12,Laparoscopic repair of indirect inguinal hernia with graft or prosthesis 
17.13,"Laparoscopic repair of inguinal hernia with graft or prosthesis,not otherwise specified "
17.21,Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis 
17.22,Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis 
17.23,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis "
17.24,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified "
17.31,Laparoscopic multiple segmental resection of large intestine 
17.32,Laparoscopic cecectomy 
17.33,Laparoscopic right hemicolectomy 
17.34,Laparoscopic resection of transverse colon 
17.35,Laparoscopic left hemicolectomy 
17.36,Laparoscopic sigmoidectomy 
17.39,Other laparoscopic partial excision of large intestine 
17.41,Open robotic assisted procedure 
17.42,Laparoscopic robotic assisted procedure 
17.43,Percutaneous robotic assisted procedure 
17.44,Endoscopic robotic assisted procedure 
17.45,Thoracoscopic robotic assisted procedure 
17.49,Other and unspecified robotic assisted procedure 
17.51,"Implantation of rechargeable cardiac contractility modulation [CCM], total system "
17.52,Implantation or replacement of cardiac contractility modulation [CCM] rechargeable pulse generator only 
17.61,Laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance 
17.62,Laser interstitial thermal therapy [LITT] of lesion or tissue of head and neck under guidance 
17.63,Laser interstitial thermal therapy [LITT] of lesion or tissue of liver under guidance 
17.69,Laser interstitial thermal therapy [LITT] of lesion or tissue of other and unspecified site under guidance 
17.7,Intravenous infusion of clofarabine 
18.01,Piercing of ear lobe 
18.02,Incision of external auditory canal 
18.09,Other incision of external ear 
18.11,(Otoscopy) 
18.12,Biopsy of external ear 
18.19,Other diagnostic procedures on external ear 
18.21,Excision of preauricular sinus 
18.29,Excision or destruction of other lesion of external ear 
18.31,Radical excision of lesion of external ear 
18.39,Other amputation of external ear 
18.4,Suture of laceration of external ear 
18.5,Surgical correction of prominent ear 
18.6,Reconstruction of external auditory canal 
18.71,Construction of auricle of ear 
18.72,Reattachrment of amputated ear 
18.79,Other plastic repair of external ear 
18.9,Other operation on external  ear 
19,Stapes mobilization 
19,Stapes mobilization 
19.11,Stapedectomy with incus replacement 
19.19,Other stapedectomy 
19.21,Revision of stapedectomy with incus replacement 
19.29,Other revision of stapedectomy 
